dteday,hour,holiday,year,workingday,temp,atemp,hum,windspeed,casual,registered,counts,spring,summer,fall,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Mon,Tue,Wed,Thu,Fri,Sat,Cloudy,Snow,Storm
2012-12-27,21,0,1,1,0.24,0.2273,0.6,0.2537,12,51,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2011-10-13,17,0,0,1,0.62,0.5758,0.83,0.2537,47,432,479,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2012-08-09,9,0,1,1,0.76,0.7273,0.66,0.1642,54,299,353,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-04-08,17,0,1,0,0.62,0.6061,0.22,0.2985,185,226,411,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-29,8,0,1,0,0.18,0.19699999999999998,0.4,0.1343,9,61,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-30,8,0,1,0,0.48,0.4697,0.67,0.1045,18,126,144,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-31,4,0,0,1,0.2,0.19699999999999998,0.59,0.2239,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-07-30,17,0,0,0,0.9,0.7879,0.29,0.1045,93,209,302,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-10-03,13,0,0,1,0.42,0.4242,0.67,0.1642,16,102,118,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2011-10-08,12,0,0,0,0.62,0.6212,0.35,0.0,191,255,446,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012-01-08,10,0,1,0,0.34,0.3333,0.49,0.1642,27,181,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-27,20,0,0,0,0.28,0.2727,0.36,0.1642,7,50,57,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-15,17,0,1,0,0.7,0.6364,0.42,0.3284,262,361,623,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-08,3,0,1,1,0.26,0.303,0.65,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-04-22,22,0,1,0,0.34,0.2879,0.87,0.5224,0,13,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-03-23,20,0,0,1,0.36,0.303,0.87,0.6418,3,72,75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2011-01-04,9,0,0,1,0.16,0.1515,0.64,0.2239,2,98,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
